Country,Cities,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Chile,Arica,18.8,17.1,17.2,16.3,15.6,15.4,16,15.6,14.6,14.7,13.4,13.7,13.5,14.7,14,14.3,13.7,13.9,14.3,14.4,13.6
Chile,Iquique,19.3,17.2,17,16.5,15.9,15.7,16,16.1,15.2,14.6,13.7,14,13.6,14.9,14.5,14.7,14.4,14.5,14.6,14.6,14.2
Chile,Calama,19.3,18.9,19.3,17.9,17.8,17.1,17.2,17.7,16.6,16.3,15.5,15.6,15,16.4,16,16.6,16.1,16.1,15.8,16.1,15.4
Chile,Antofagasta,12.6,15.2,15.4,14.8,14.5,14,14.2,14.6,13.8,13.2,12.6,12.7,12,13.2,12.8,13.1,12.6,12.8,12.7,12.7,12.5
Chile,Copiapo,15.8,19.9,19.4,19,18.4,17.9,18.2,18.9,18,17.4,16,16.6,16.2,17.9,17.2,17.2,16.6,17,17.2,17.4,16.7
Chile,Coquimbo-La Serena,16.1,17.2,17,17.3,16.6,16.2,16.4,17.2,16.1,15.4,14.7,14.7,14.2,15.7,15,15.9,15.2,16,15.3,15.9,15.5
Chile,Ovalle,15.3,16.6,16.6,16.6,16.1,15.7,15.9,16.2,15.5,14.9,14.1,14.3,13.9,15.2,14.6,15.4,14.7,15.6,14.8,15.1,14.7
Chile,Calera,18.4,19,18.6,18.6,17.5,17.1,17.6,17.6,17,16,15,15.1,14.9,16.2,15.5,16.5,16.4,16.1,15.5,15.5,15.9
Chile,Quillota,20.2,20.5,20.1,20,19,18.7,19,19.1,18.4,17.2,16.2,16.3,16.1,17.4,16.7,17.8,17.9,17.5,16.8,16.7,17.1
Chile,Valparaiso,21.5,20.8,20.4,20.4,19.4,19.1,19.3,19.4,18.6,17.5,16.6,16.7,16.5,17.9,17,18.1,18.2,17.8,17.2,17.2,17.6
Chile,Santiago,33.5,33.7,32.8,33,31.3,31.1,31.5,31,29.7,28.1,26.1,26.6,25.9,28.2,27,28.4,28.9,27.6,27.2,26.4,27
Chile,San Antonio,22.4,21.2,20.5,20.6,19.4,19.1,19.3,19.4,18.5,17.4,16.5,16.7,16.5,17.8,17.1,18.2,18.4,17.7,17.1,16.9,17.5
Chile,Melipilla,24.8,23.9,23.3,23.5,21.9,22,22.3,22,21.3,19.9,18.6,19.2,18.8,20.1,19.4,20.5,20.7,19.8,19.3,18.8,19.5
Chile,Rancagua,36.9,35.9,35.3,34.6,33.1,33,33.4,32.9,31.4,29.9,27.7,28.5,28,30.3,28.8,30.3,30.8,29.6,28.8,27.9,28.9
Chile,San Fernando,29.7,29.1,29,28.9,27.5,27.3,27.3,27.4,26.1,24.5,22.8,23.4,23.2,24.6,23.9,25.3,25.4,24.4,24,23.1,24.2
Chile,Curico,32.5,31.2,32,32.3,30.4,30.3,30.7,30.3,29.3,27.1,25.5,26,25.5,27.4,26.9,28,27.9,27.4,26.6,26,27.6
Chile,Talca,29.8,29.4,29.7,30.4,28.7,28.1,28.9,28.8,27.6,25.4,24.2,24.7,24.3,25.8,25.4,26.5,26.3,26.2,25.4,25,26.6
Chile,Linares,37.7,36.4,37.6,38.2,36.3,35.7,36.4,36.4,34.7,32,30.6,31.3,30.4,32.6,32,33.6,32.8,33.3,31.9,31.7,33.8
Chile,Chillan,31,30,31.3,31.6,30,29.2,29.8,30.3,28.5,26.3,25,26.1,25,27.1,26.9,28.4,27.5,26.9,26.6,26.8,27.9
Chile,Concepcion,23.6,22.9,23.5,23.9,22.8,22.2,22.5,22.7,21.5,19.5,18.6,19.3,18.6,20,19.6,20.7,20.3,20.2,19.8,19.6,20.5
Chile,Los Angeles,31.6,30.5,32.6,33.1,31.7,30.6,31.3,31.4,29.7,26.7,25.8,28.2,25.7,27.7,27.7,29.5,28.4,27.8,27.5,27.6,28.8
Chile,Temuco,39.7,39,41,41.4,40.3,38.9,39.2,39.2,37.2,33.4,32.2,36.5,32.4,34.7,34,37.4,35.7,34,34.4,34.4,35.6
Chile,Valdivia,41.9,40.8,40.4,41.4,40.6,39.8,40,39.4,38.4,33.2,32.3,35.5,31.7,34.3,34.5,35.7,35.3,33,33.4,34.5,35
Chile,Osorno,48.5,45.7,45.8,46.8,46.6,44.7,45.2,44.3,43.6,37.2,36.5,39.6,36,38.3,38.9,40.2,39.9,37.2,37.9,38.9,39.6
Chile,Puerto Montt,35.6,33.6,33.3,33.9,33.8,32.8,32.9,32.4,31.5,27.5,26.7,29,26.2,28.4,27.9,29.4,29.4,27.6,27.6,28.7,29
Chile,Punta Arenas,7.9,7.7,7.6,7.9,7.6,7.2,7.4,7.5,6.9,6.3,6.1,6.1,5.8,6.4,6.3,6.3,6.2,6.2,6.2,6.2,6.3
