Country,Cities,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Colombia,Bogota,25.6,22.9,23.3,23.1,21.9,21,22.8,22.2,20.3,19.1,19.9,21.8,19,19.9,19.4,18.7,18.2,18.6,16.7,15,14.9
Colombia,Medellin,35.4,27.4,28.7,31.2,28,28.2,30,28.6,27.4,23.8,25,26.8,23.1,24.3,23.6,22,21.7,21.8,20.9,19.2,17.9
Colombia,Cali,19.5,15.8,17,17.3,16.5,16.2,17.4,16.8,15.5,13.8,14.4,15.6,14,14.2,13.7,13.4,12.8,12.8,12.5,11.2,10.4
Colombia,Barranquilla,21.5,20.2,19.6,21.8,18.6,19.7,20.6,20.9,19.2,16.1,17.2,18,16.3,17.2,16.7,16.2,16,15.6,14.2,13,13
Colombia,Cartagena,16.6,15.1,14.6,16.5,14.2,15.1,15.7,15.8,14.7,12.2,13.3,13.8,12.5,13.1,12.7,12.4,12.3,11.9,11.1,10,9.9
Colombia,Bucaramanga,26.9,24.8,24.7,26,22.4,22.8,24.3,23.3,22,19.8,20.9,23.2,20.1,21.1,20,19.9,20,19.3,17.2,15.6,15.9
Colombia,Cucuta,27.8,26.6,26.8,27.6,24.6,25,26.4,25.4,24.1,21.5,22.7,24.5,21.7,22.7,21.8,21.6,20.7,20.4,18.4,16.8,16.9
Colombia,Pereira,30,23.1,24.6,26.3,23.9,23.6,25.4,24.6,22.9,19.9,21,23,20.4,21,19.9,18.8,18.2,18.7,18.4,16.3,14.8
Colombia,Ibague,29.3,23,24.8,25.4,23.9,23.2,24.7,23.7,22.3,19.7,20.8,22.7,20.2,20.3,19.9,18.5,18.2,18.4,18.4,15.8,14.8
Colombia,Manizales,31.6,24.2,25.4,27.4,24.9,24.4,26.4,25.2,23.9,20.7,21.9,23.8,21.2,21.7,20.7,19.5,18.9,19.3,19,16.9,15.6
Colombia,Santa Marta,20.6,20.2,19.4,21,18.4,19.2,20.2,20.7,18.7,16,16.9,17.7,16,17,16.3,16.1,15.8,15.5,14,12.7,12.7
Colombia,Pasto,15.5,13.8,15.1,14.6,14.1,13.8,14.6,14.7,13.4,12.2,12.5,13.6,11.9,12.4,12.1,12.2,11.8,11.7,10.7,9.6,9.6
Colombia,Armenia,28.6,22.2,23.6,25.3,23.2,22.5,24.3,23.3,21.8,19,19.9,22,19.6,20,19,18.1,17.5,18,17.8,15.7,14.2
Colombia,Villavicencio,25.2,24.6,24.8,24,22.9,21.5,24,23,21.1,19.6,20.7,21.9,19.3,20.9,20.5,19.3,19.1,19.1,16.8,15.8,16.3
