Country,Cities,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Mexico,Mexico City,43.2,30.6,31.3,33.2,28.4,29,30.1,29.2,26.7,25.5,24.9,27.9,25.2,25.9,24.2,23.8,23.4,22.5,20.6,18.2,17.8
Mexico,Guadalajara,26.2,22.5,23.2,22.3,20.8,21.3,21.6,21.1,19.5,18.1,17.6,20.5,17.9,18.3,17.6,17.4,17.1,17,15.4,13.3,13.2
Mexico,Monterrey,26.7,24.4,25,24.9,22.3,21.7,23.5,22.8,21.9,19.8,18.9,21.7,19.2,19.6,18.9,18.3,16.6,17.2,15.6,14,14.3
Mexico,Puebla,32.8,26.5,27.9,28.1,25.4,25.4,26.8,25.9,24.1,22.8,22,24.6,22.3,22.8,21.4,21.2,20.9,20.1,18.1,16.3,16.2
Mexico,Toluca,35,25.4,25.8,26.2,23.2,23.4,24.4,23.9,21.8,20.6,20.3,22.6,20.5,21.1,20,19.4,19.8,18.5,16.9,14.9,14.8
Mexico,Tijuana,25.2,23.8,24.6,22.5,20.7,20.8,22,22.5,19.9,18.8,17.5,20,18.2,18.5,18.1,17.4,16.2,16.9,15.6,13.5,15.1
Mexico,Leon,31.3,25.4,25.8,24.8,22.9,23.4,23.8,23.7,22.5,20,19.5,22.5,19.5,20.3,19.6,19.1,18.9,18.4,16.7,14.4,14.4
Mexico,Queretaro,33.4,26.4,26.9,26.2,24.4,24.3,25,25.1,22.8,21.1,20.9,23.8,20.9,21.7,20.7,20.1,20.4,19.2,17.5,15.2,15.2
Mexico,Merida,22.8,21.8,22.3,22.7,20,21.1,21.6,21.1,19,17.9,16.4,19.8,17.6,18.8,18,17.8,15.1,15.9,14.7,12.8,14.2
Mexico,Juarez,25,23.8,24.4,23.5,21.6,20.7,22.1,22.1,19.7,18.5,17.4,20.8,19,19.2,17.9,17.6,16.2,16.8,14.9,13,14.2
Mexico,San Luis Potosi,33.6,25.9,26.3,25.4,23.4,23.2,24.4,24.1,22.7,21,20,23.1,20.3,21.1,20.5,20,18.5,18.3,16.8,14.6,14.9
Mexico,Torreon,22.1,21.5,22.6,20.7,19.4,19.3,20,20,18.5,18,16.8,19.4,17.5,17.5,17.2,16.9,16.5,15.5,14.3,12.2,13.3
Mexico,Mexicali,33,30.8,33.1,29.7,27.9,27.3,28.9,29.5,26.7,25.2,23.1,28.1,25,25.7,24.7,24.1,22.8,22.9,21.1,17.5,19.6
Mexico,Cuernavaca,33.4,25.8,26.4,27.4,23.7,24.1,25.3,24.5,22.4,21.4,20.6,23.2,20.9,21.9,20.2,19.8,19.9,18.9,17.5,15.6,15.1
Mexico,Villahermosa,29.6,24.8,25.6,28.3,23.4,25.1,25.8,24.7,22.3,20.8,19,22.4,20.2,22.3,20.5,21.2,20.8,19.9,18,16.1,17.8
Mexico,Culiacan,20.6,19.4,20.5,19.7,17.7,17.6,19.9,18.5,17.9,16,15.4,18.6,16.1,16.2,15.4,15.3,14.4,14.8,13.3,11.5,12.1
Mexico,Morelia,32.4,23.8,24.2,23.4,22,22.1,22.4,22.4,20.2,19.1,18.5,21,18.9,19.6,18.6,18.4,18.5,17.6,16.1,13.8,13.7
Mexico,Chihuahua,22.5,21.5,22.1,20.4,18.9,19,20,20.3,18.8,17.6,16.5,19.5,17.3,17.6,16.7,16.5,15.5,15.6,14,11.8,12.9
